value,datetime,datetime_utc,tz_time,geo_id,geo_name
100.0,2025-06-16 00:00:00+02:00,2025-06-15T22:00:00Z,2025-06-15T22:00:00.000Z,8741,Península
75.0,2025-06-16 00:15:00+02:00,2025-06-15T22:15:00Z,2025-06-15T22:15:00.000Z,8741,Península
50.0,2025-06-16 00:30:00+02:00,2025-06-15T22:30:00Z,2025-06-15T22:30:00.000Z,8741,Península
25.0,2025-06-16 00:45:00+02:00,2025-06-15T22:45:00Z,2025-06-15T22:45:00.000Z,8741,Península
0.0,2025-06-16 01:00:00+02:00,2025-06-15T23:00:00Z,2025-06-15T23:00:00.000Z,8741,Península
0.0,2025-06-16 01:15:00+02:00,2025-06-15T23:15:00Z,2025-06-15T23:15:00.000Z,8741,Península
0.0,2025-06-16 01:30:00+02:00,2025-06-15T23:30:00Z,2025-06-15T23:30:00.000Z,8741,Península
0.0,2025-06-16 01:45:00+02:00,2025-06-15T23:45:00Z,2025-06-15T23:45:00.000Z,8741,Península
0.0,2025-06-16 02:00:00+02:00,2025-06-16T00:00:00Z,2025-06-16T00:00:00.000Z,8741,Península
0.0,2025-06-16 02:15:00+02:00,2025-06-16T00:15:00Z,2025-06-16T00:15:00.000Z,8741,Península
0.0,2025-06-16 02:30:00+02:00,2025-06-16T00:30:00Z,2025-06-16T00:30:00.000Z,8741,Península
0.0,2025-06-16 02:45:00+02:00,2025-06-16T00:45:00Z,2025-06-16T00:45:00.000Z,8741,Península
0.0,2025-06-16 03:00:00+02:00,2025-06-16T01:00:00Z,2025-06-16T01:00:00.000Z,8741,Península
0.0,2025-06-16 03:15:00+02:00,2025-06-16T01:15:00Z,2025-06-16T01:15:00.000Z,8741,Península
0.0,2025-06-16 03:30:00+02:00,2025-06-16T01:30:00Z,2025-06-16T01:30:00.000Z,8741,Península
0.0,2025-06-16 03:45:00+02:00,2025-06-16T01:45:00Z,2025-06-16T01:45:00.000Z,8741,Península
0.0,2025-06-16 04:00:00+02:00,2025-06-16T02:00:00Z,2025-06-16T02:00:00.000Z,8741,Península
0.0,2025-06-16 04:15:00+02:00,2025-06-16T02:15:00Z,2025-06-16T02:15:00.000Z,8741,Península
0.0,2025-06-16 04:30:00+02:00,2025-06-16T02:30:00Z,2025-06-16T02:30:00.000Z,8741,Península
0.0,2025-06-16 04:45:00+02:00,2025-06-16T02:45:00Z,2025-06-16T02:45:00.000Z,8741,Península
37.5,2025-06-16 05:00:00+02:00,2025-06-16T03:00:00Z,2025-06-16T03:00:00.000Z,8741,Península
37.5,2025-06-16 05:15:00+02:00,2025-06-16T03:15:00Z,2025-06-16T03:15:00.000Z,8741,Península
37.5,2025-06-16 05:30:00+02:00,2025-06-16T03:30:00Z,2025-06-16T03:30:00.000Z,8741,Península
0.0,2025-06-16 05:45:00+02:00,2025-06-16T03:45:00Z,2025-06-16T03:45:00.000Z,8741,Península
0.0,2025-06-16 06:00:00+02:00,2025-06-16T04:00:00Z,2025-06-16T04:00:00.000Z,8741,Península
18.75,2025-06-16 06:15:00+02:00,2025-06-16T04:15:00Z,2025-06-16T04:15:00.000Z,8741,Península
18.75,2025-06-16 06:30:00+02:00,2025-06-16T04:30:00Z,2025-06-16T04:30:00.000Z,8741,Península
18.75,2025-06-16 06:45:00+02:00,2025-06-16T04:45:00Z,2025-06-16T04:45:00.000Z,8741,Península
25.0,2025-06-16 07:00:00+02:00,2025-06-16T05:00:00Z,2025-06-16T05:00:00.000Z,8741,Península
25.0,2025-06-16 07:15:00+02:00,2025-06-16T05:15:00Z,2025-06-16T05:15:00.000Z,8741,Península
25.0,2025-06-16 07:30:00+02:00,2025-06-16T05:30:00Z,2025-06-16T05:30:00.000Z,8741,Península
25.0,2025-06-16 07:45:00+02:00,2025-06-16T05:45:00Z,2025-06-16T05:45:00.000Z,8741,Península
12.5,2025-06-16 08:00:00+02:00,2025-06-16T06:00:00Z,2025-06-16T06:00:00.000Z,8741,Península
12.5,2025-06-16 08:15:00+02:00,2025-06-16T06:15:00Z,2025-06-16T06:15:00.000Z,8741,Península
12.5,2025-06-16 08:30:00+02:00,2025-06-16T06:30:00Z,2025-06-16T06:30:00.000Z,8741,Península
12.5,2025-06-16 08:45:00+02:00,2025-06-16T06:45:00Z,2025-06-16T06:45:00.000Z,8741,Península
0.0,2025-06-16 09:00:00+02:00,2025-06-16T07:00:00Z,2025-06-16T07:00:00.000Z,8741,Península
0.0,2025-06-16 09:15:00+02:00,2025-06-16T07:15:00Z,2025-06-16T07:15:00.000Z,8741,Península
0.0,2025-06-16 09:30:00+02:00,2025-06-16T07:30:00Z,2025-06-16T07:30:00.000Z,8741,Península
0.0,2025-06-16 09:45:00+02:00,2025-06-16T07:45:00Z,2025-06-16T07:45:00.000Z,8741,Península
0.0,2025-06-16 10:00:00+02:00,2025-06-16T08:00:00Z,2025-06-16T08:00:00.000Z,8741,Península
0.0,2025-06-16 10:15:00+02:00,2025-06-16T08:15:00Z,2025-06-16T08:15:00.000Z,8741,Península
0.0,2025-06-16 10:30:00+02:00,2025-06-16T08:30:00Z,2025-06-16T08:30:00.000Z,8741,Península
0.0,2025-06-16 10:45:00+02:00,2025-06-16T08:45:00Z,2025-06-16T08:45:00.000Z,8741,Península
0.0,2025-06-16 11:00:00+02:00,2025-06-16T09:00:00Z,2025-06-16T09:00:00.000Z,8741,Península
0.0,2025-06-16 11:15:00+02:00,2025-06-16T09:15:00Z,2025-06-16T09:15:00.000Z,8741,Península
0.0,2025-06-16 11:30:00+02:00,2025-06-16T09:30:00Z,2025-06-16T09:30:00.000Z,8741,Península
0.0,2025-06-16 11:45:00+02:00,2025-06-16T09:45:00Z,2025-06-16T09:45:00.000Z,8741,Península
0.0,2025-06-16 12:00:00+02:00,2025-06-16T10:00:00Z,2025-06-16T10:00:00.000Z,8741,Península
0.0,2025-06-16 12:15:00+02:00,2025-06-16T10:15:00Z,2025-06-16T10:15:00.000Z,8741,Península
0.0,2025-06-16 12:30:00+02:00,2025-06-16T10:30:00Z,2025-06-16T10:30:00.000Z,8741,Península
0.0,2025-06-16 12:45:00+02:00,2025-06-16T10:45:00Z,2025-06-16T10:45:00.000Z,8741,Península
0.0,2025-06-16 13:00:00+02:00,2025-06-16T11:00:00Z,2025-06-16T11:00:00.000Z,8741,Península
0.0,2025-06-16 13:15:00+02:00,2025-06-16T11:15:00Z,2025-06-16T11:15:00.000Z,8741,Península
