row,date_local,time_local,date_utc,time_utc,value_mw
1,2025-04-16,00:00,2025-04-15,22:00,0.0
2,2025-04-16,00:15,2025-04-15,22:15,0.0
3,2025-04-16,00:30,2025-04-15,22:30,0.0
4,2025-04-16,00:45,2025-04-15,22:45,0.0
5,2025-04-16,01:00,2025-04-15,23:00,27.75
6,2025-04-16,01:15,2025-04-15,23:15,62.5
7,2025-04-16,01:30,2025-04-15,23:30,62.5
8,2025-04-16,01:45,2025-04-15,23:45,62.5
9,2025-04-16,02:00,2025-04-16,00:00,37.5
10,2025-04-16,02:15,2025-04-16,00:15,37.5
11,2025-04-16,02:30,2025-04-16,00:30,37.5
12,2025-04-16,02:45,2025-04-16,00:45,37.5
13,2025-04-16,03:00,2025-04-16,01:00,25.0
14,2025-04-16,03:15,2025-04-16,01:15,5.0
15,2025-04-16,03:30,2025-04-16,01:30,4.25
16,2025-04-16,03:45,2025-04-16,01:45,6.75
17,2025-04-16,04:00,2025-04-16,02:00,25.0
18,2025-04-16,04:15,2025-04-16,02:15,25.0
19,2025-04-16,04:30,2025-04-16,02:30,25.0
20,2025-04-16,04:45,2025-04-16,02:45,25.0
21,2025-04-16,05:00,2025-04-16,03:00,17.5
22,2025-04-16,05:15,2025-04-16,03:15,17.5
23,2025-04-16,05:30,2025-04-16,03:30,17.5
24,2025-04-16,05:45,2025-04-16,03:45,17.5
25,2025-04-16,06:00,2025-04-16,04:00,75.0
26,2025-04-16,06:15,2025-04-16,04:15,75.0
27,2025-04-16,06:30,2025-04-16,04:30,75.0
28,2025-04-16,06:45,2025-04-16,04:45,75.0
29,2025-04-16,07:00,2025-04-16,05:00,53.75
30,2025-04-16,07:15,2025-04-16,05:15,53.75
31,2025-04-16,07:30,2025-04-16,05:30,47.25
32,2025-04-16,07:45,2025-04-16,05:45,44.25
33,2025-04-16,08:00,2025-04-16,06:00,0.0
34,2025-04-16,08:15,2025-04-16,06:15,50.25
35,2025-04-16,08:30,2025-04-16,06:30,67.25
36,2025-04-16,08:45,2025-04-16,06:45,92.25
37,2025-04-16,09:00,2025-04-16,07:00,0.0
38,2025-04-16,09:15,2025-04-16,07:15,0.0
39,2025-04-16,09:30,2025-04-16,07:30,0.0
40,2025-04-16,09:45,2025-04-16,07:45,0.0
41,2023-01-01,00:00,2022-12-31,23:00,25.0
42,2023-01-01,00:15,2022-12-31,23:15,25.0
43,2023-01-01,00:30,2022-12-31,23:30,25.0
44,2023-01-01,00:45,2022-12-31,23:45,25.0
45,2023-01-01,01:00,2023-01-01,00:00,16.75
46,2023-01-01,01:15,2023-01-01,00:15,16.75
47,2023-01-01,01:30,2023-01-01,00:30,16.75
48,2023-01-01,01:45,2023-01-01,00:45,16.75
49,2023-01-01,02:00,2023-01-01,01:00,0.0
50,2023-01-01,02:15,2023-01-01,01:15,0.0
51,2023-01-01,02:30,2023-01-01,01:30,0.0
52,2023-01-01,02:45,2023-01-01,01:45,0.0
53,2023-01-01,03:00,2023-01-01,02:00,67.75
54,2023-01-01,03:15,2023-01-01,02:15,67.75
55,2023-01-01,03:30,2023-01-01,02:30,67.75
56,2023-01-01,03:45,2023-01-01,02:45,67.75
57,2023-01-01,04:00,2023-01-01,03:00,0.0
58,2023-01-01,04:15,2023-01-01,03:15,0.0
59,2023-01-01,04:30,2023-01-01,03:30,0.0
60,2023-01-01,04:45,2023-01-01,03:45,0.0
61,2023-01-01,05:00,2023-01-01,04:00,0.0
62,2023-01-01,05:15,2023-01-01,04:15,0.0
63,2023-01-01,05:30,2023-01-01,04:30,0.0
64,2023-01-01,05:45,2023-01-01,04:45,0.0
65,2023-01-01,06:00,2023-01-01,05:00,0.0
66,2023-01-01,06:15,2023-01-01,05:15,0.0
67,2023-01-01,06:30,2023-01-01,05:30,0.0
68,2023-01-01,06:45,2023-01-01,05:45,0.0
69,2023-01-01,07:00,2023-01-01,06:00,0.0
70,2023-01-01,07:15,2023-01-01,06:15,0.0
71,2023-01-01,07:30,2023-01-01,06:30,0.0
72,2023-01-01,07:45,2023-01-01,06:45,0.0
73,2023-01-01,08:00,2023-01-01,07:00,0.0
74,2023-01-01,08:15,2023-01-01,07:15,0.0
75,2023-01-01,08:30,2023-01-01,07:30,0.0
76,2023-01-01,08:45,2023-01-01,07:45,0.0
77,2023-01-01,09:00,2023-01-01,08:00,0.0
78,2023-01-01,09:15,2023-01-01,08:15,0.0
79,2023-01-01,09:30,2023-01-01,08:30,0.0
80,2023-01-01,09:45,2023-01-01,08:45,0.0
81,2023-01-01,10:00,2023-01-01,09:00,0.0
82,2023-01-01,10:15,2023-01-01,09:15,0.0
83,2023-01-01,10:30,2023-01-01,09:30,0.0
84,2023-01-01,10:45,2023-01-01,09:45,0.0
85,2023-01-01,11:00,2023-01-01,10:00,0.0
86,2023-01-01,11:15,2023-01-01,10:15,0.0
87,2023-01-01,11:30,2023-01-01,10:30,0.0
88,2023-01-01,11:45,2023-01-01,10:45,0.0
89,2023-01-01,12:00,2023-01-01,11:00,0.0
90,2023-01-01,12:15,2023-01-01,11:15,0.0
91,2023-01-01,12:30,2023-01-01,11:30,0.0
92,2023-01-01,12:45,2023-01-01,11:45,0.0
93,2023-01-01,13:00,2023-01-01,12:00,0.0
94,2023-01-01,13:15,2023-01-01,12:15,0.0
95,2023-01-01,13:30,2023-01-01,12:30,0.0
96,2023-01-01,13:45,2023-01-01,12:45,0.0
97,2023-01-01,14:00,2023-01-01,13:00,57.5
98,2023-01-01,14:15,2023-01-01,13:15,57.5
99,2023-01-01,14:30,2023-01-01,13:30,57.5
100,2023-01-01,14:45,2023-01-01,13:45,57.5
101,2023-01-01,15:00,2023-01-01,14:00,0.0
102,2023-01-01,15:15,2023-01-01,14:15,0.0
103,2023-01-01,15:30,2023-01-01,14:30,0.0
104,2023-01-01,15:45,2023-01-01,14:45,0.0
105,2023-01-01,16:00,2023-01-01,15:00,0.0
106,2023-01-01,16:15,2023-01-01,15:15,0.0
107,2023-01-01,16:30,2023-01-01,15:30,0.0
108,2023-01-01,16:45,2023-01-01,15:45,0.0
109,2023-01-01,17:00,2023-01-01,16:00,0.0
110,2023-01-01,17:15,2023-01-01,16:15,0.0
111,2023-01-01,17:30,2023-01-01,16:30,0.0
112,2023-01-01,17:45,2023-01-01,16:45,0.0
113,2023-01-01,18:00,2023-01-01,17:00,0.0
114,2023-01-01,18:15,2023-01-01,17:15,0.0
115,2023-01-01,18:30,2023-01-01,17:30,0.0
116,2023-01-01,18:45,2023-01-01,17:45,0.0
117,2023-01-01,19:00,2023-01-01,18:00,0.0
118,2023-01-01,19:15,2023-01-01,18:15,0.0
119,2023-01-01,19:30,2023-01-01,18:30,0.0
120,2023-01-01,19:45,2023-01-01,18:45,0.0
121,2023-01-01,20:00,2023-01-01,19:00,75.0
122,2023-01-01,20:15,2023-01-01,19:15,75.0
123,2023-01-01,20:30,2023-01-01,19:30,75.0
124,2023-01-01,20:45,2023-01-01,19:45,75.0
125,2023-01-01,21:00,2023-01-01,20:00,39.5
126,2023-01-01,21:15,2023-01-01,20:15,39.5
127,2023-01-01,21:30,2023-01-01,20:30,39.5
128,2023-01-01,21:45,2023-01-01,20:45,39.5
129,2023-01-01,22:00,2023-01-01,21:00,0.0
130,2023-01-01,22:15,2023-01-01,21:15,0.0
131,2023-01-01,22:30,2023-01-01,21:30,0.0
132,2023-01-01,22:45,2023-01-01,21:45,0.0
133,2023-01-01,23:00,2023-01-01,22:00,0.0
134,2023-01-01,23:15,2023-01-01,22:15,0.0
135,2023-01-01,23:30,2023-01-01,22:30,0.0
136,2023-01-01,23:45,2023-01-01,22:45,0.0
137,2023-01-02,00:00,2023-01-01,23:00,0.0
138,2023-01-02,00:15,2023-01-01,23:15,0.0
139,2023-01-02,00:30,2023-01-01,23:30,0.0
140,2023-01-02,00:45,2023-01-01,23:45,0.0
